127.0.0.1 - - [24/Feb/2025:00:01:17 +0530] "GET /Royal/addmarks/2 HTTP/1.1" 200 4376
127.0.0.1 - - [24/Feb/2025:00:03:01 +0530] "GET /Royal/Computer%20Science%20Engineering/batch/CS1 HTTP/1.1" 200 9361
127.0.0.1 - - [24/Feb/2025:00:03:01 +0530] "GET /Royal/student/3 HTTP/1.1" 200 241461
127.0.0.1 - - [24/Feb/2025:00:03:01 +0530] "GET /Royal/student/2 HTTP/1.1" 200 180001
127.0.0.1 - - [24/Feb/2025:00:03:01 +0530] "GET /Royal/student/6 HTTP/1.1" 200 205633
127.0.0.1 - - [24/Feb/2025:00:03:01 +0530] "GET /Royal/student/1 HTTP/1.1" 200 164895
127.0.0.1 - - [24/Feb/2025:00:03:01 +0530] "GET /Royal/student/5 HTTP/1.1" 200 241461
127.0.0.1 - - [24/Feb/2025:00:03:01 +0530] "GET /Royal/student/4 HTTP/1.1" 200 235699
127.0.0.1 - - [24/Feb/2025:00:03:01 +0530] "GET /Royal/student/10 HTTP/1.1" 200 82773
127.0.0.1 - - [24/Feb/2025:00:03:01 +0530] "GET /Royal/student/8 HTTP/1.1" 200 60710
127.0.0.1 - - [24/Feb/2025:00:03:01 +0530] "GET /Royal/student/7 HTTP/1.1" 200 235699
127.0.0.1 - - [24/Feb/2025:00:03:01 +0530] "GET /Royal/student/9 HTTP/1.1" 200 205964
127.0.0.1 - - [24/Feb/2025:00:03:01 +0530] "GET /favicon.ico HTTP/1.1" 404 762
127.0.0.1 - - [24/Feb/2025:00:03:04 +0530] "GET /favicon.ico HTTP/1.1" 404 762
127.0.0.1 - - [24/Feb/2025:00:03:09 +0530] "GET /Royal/Computer%20Science%20Engineering/batch/CS1 HTTP/1.1" 200 9361
127.0.0.1 - - [24/Feb/2025:00:03:09 +0530] "GET /Royal/student/1 HTTP/1.1" 200 164895
127.0.0.1 - - [24/Feb/2025:00:03:09 +0530] "GET /Royal/student/2 HTTP/1.1" 200 180001
127.0.0.1 - - [24/Feb/2025:00:03:09 +0530] "GET /Royal/student/3 HTTP/1.1" 200 241461
127.0.0.1 - - [24/Feb/2025:00:03:09 +0530] "GET /Royal/student/6 HTTP/1.1" 200 205633
127.0.0.1 - - [24/Feb/2025:00:03:09 +0530] "GET /Royal/student/4 HTTP/1.1" 200 235699
127.0.0.1 - - [24/Feb/2025:00:03:09 +0530] "GET /Royal/student/5 HTTP/1.1" 200 241461
127.0.0.1 - - [24/Feb/2025:00:03:09 +0530] "GET /Royal/student/10 HTTP/1.1" 200 82773
127.0.0.1 - - [24/Feb/2025:00:03:09 +0530] "GET /Royal/student/8 HTTP/1.1" 200 60710
127.0.0.1 - - [24/Feb/2025:00:03:09 +0530] "GET /Royal/student/9 HTTP/1.1" 200 205964
127.0.0.1 - - [24/Feb/2025:00:03:09 +0530] "GET /Royal/student/7 HTTP/1.1" 200 235699
127.0.0.1 - - [24/Feb/2025:00:03:12 +0530] "GET /favicon.ico HTTP/1.1" 404 762
127.0.0.1 - - [24/Feb/2025:00:04:29 +0530] "GET /Royal/department/Computer%20Science%20Engineering HTTP/1.1" 200 6334
127.0.0.1 - - [24/Feb/2025:00:04:30 +0530] "GET /Royal/teacher/1 HTTP/1.1" 200 23708
127.0.0.1 - - [24/Feb/2025:00:04:30 +0530] "GET /Royal/teacher/2 HTTP/1.1" 200 2957428
127.0.0.1 - - [24/Feb/2025:00:04:34 +0530] "GET /Royal/Computer%20Science%20Engineering/batch/CS1 HTTP/1.1" 200 9366
127.0.0.1 - - [24/Feb/2025:00:04:34 +0530] "GET /Royal/student/3 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:04:34 +0530] "GET /Royal/student/5 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:04:34 +0530] "GET /Royal/student/7 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:04:34 +0530] "GET /Royal/student/8 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:04:34 +0530] "GET /Royal/student/6 HTTP/1.1" 200 205633
127.0.0.1 - - [24/Feb/2025:00:04:34 +0530] "GET /Royal/student/2 HTTP/1.1" 200 180001
127.0.0.1 - - [24/Feb/2025:00:04:34 +0530] "GET /Royal/student/1 HTTP/1.1" 200 164895
127.0.0.1 - - [24/Feb/2025:00:04:34 +0530] "GET /Royal/student/4 HTTP/1.1" 200 235699
127.0.0.1 - - [24/Feb/2025:00:04:34 +0530] "GET /Royal/student/10 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:04:34 +0530] "GET /Royal/student/9 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:47 +0530] "GET /Royal/Computer%20Science%20Engineering/batch/CS1 HTTP/1.1" 200 9389
127.0.0.1 - - [24/Feb/2025:00:05:47 +0530] "GET /Royal/student/9 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:47 +0530] "GET /Royal/student/3 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:47 +0530] "GET /Royal/student/5 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:47 +0530] "GET /Royal/student/10 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:47 +0530] "GET /Royal/student/7 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:47 +0530] "GET /Royal/student/8 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:47 +0530] "GET /Royal/student/2 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:47 +0530] "GET /Royal/student/1 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:47 +0530] "GET /Royal/student/4 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:47 +0530] "GET /Royal/student/6 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:47 +0530] "GET /favicon.ico HTTP/1.1" 404 762
127.0.0.1 - - [24/Feb/2025:00:05:50 +0530] "GET /Royal/Computer%20Science%20Engineering/batch/CS1 HTTP/1.1" 200 9389
127.0.0.1 - - [24/Feb/2025:00:05:50 +0530] "GET /Royal/student/1 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:50 +0530] "GET /Royal/student/3 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:50 +0530] "GET /Royal/student/2 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:50 +0530] "GET /Royal/student/4 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:50 +0530] "GET /Royal/student/6 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:50 +0530] "GET /Royal/student/5 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:50 +0530] "GET /Royal/student/7 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:50 +0530] "GET /Royal/student/8 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:50 +0530] "GET /Royal/student/10 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:50 +0530] "GET /Royal/student/9 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:50 +0530] "GET /favicon.ico HTTP/1.1" 404 762
127.0.0.1 - - [24/Feb/2025:00:06:30 +0530] "GET /Royal/ HTTP/1.1" 500 17098
